# 抽取翻译表：<原文>\t<英文>\t<资源名>
# 由 tools/i18n/extract.py 使用；同一个字面量在全局共用一个资源。
# 原文列必须与源码里的字符串**逐字一致**（含 \n 这类转义），否则工具会跳过它。

沉浸式翻译	Immersive translation	translate_title
「允许发送通知」只控制系统通知栏的提醒（下载进度 / 下载完成）：关掉它，站内通知列表与未读徽标照常工作。\n通知列表的展示方式：「平铺」为默认：每条通知独立成卡；分组/合并/两级模式可将相关通知折叠，减少列表长度。	“Allow notifications” only controls alerts in the system notification shade (download progress / completion): turn it off and the in-app notification list and unread badge keep working.\nHow the notification list is displayed: “Flat” is the default — every notification is its own card; the grouped / merged / two-level modes fold related notifications together to shorten the list.	note_notification_settings_desc
更新仓库 $name	Update repository %1$s	action_update_repo
已更新	Updated	state_updated
已更新 $name	Updated %1$s	toast_updated
本地与远端分叉（需决策）	Local and remote have diverged (decision needed)	state_diverged_needs_decision
更新失败：$pullResult	Update failed: %1$s	error_update_failed
无法读取仓库状态（引擎不可用）	Cannot read repository status (engine unavailable)	error_repo_status_engine_unavailable
推送仓库 $name	Push repository %1$s	action_push_repo
已推送 ${st.branch}	Pushed %1$s	toast_pushed_branch
已推送 $name	Pushed %1$s	toast_pushed
推送被拒（远端领先）	Push rejected (the remote is ahead)	state_push_rejected
推送失败：$pushResult	Push failed: %1$s	error_push_failed
工作区没有改动可提交	No changes in the working tree to commit	error_nothing_to_commit
本地提交 $repoName	Commit locally %1$s	action_commit_local
已提交（本地 git）	Committed (local git)	state_committed_local_git
已删除 ${p.name}	Deleted %1$s	toast_deleted
已切换到 $target	Switched to %1$s	toast_switched
已删除分支 $target	Deleted branch %1$s	toast_deleted_branch
已创建并切换到 $newBranch	Created and switched to %1$s	toast_created_and_switched
无法创建本地仓库目录	Cannot create the local repository folder	error_cannot_create_repo_dir
「$name」已存在	“%1$s” already exists	error_already_exists
拉取仓库 $fullName	Clone repository %1$s	action_clone_repo
已拉取到 ${target.name}	Cloned to %1$s	toast_cloned_to
已拉取 $name	Cloned %1$s	toast_cloned
拉取失败：$error	Clone failed: %1$s	error_clone_failed
${repos.size} 个	%1$s	label_repo_count
拉取仓库	Clone repository	action_clone_repository
正在克隆…	Cloning…	state_cloning
暂无本地仓库	No local repositories yet	state_no_local_repos
点击「拉取仓库」将仓库克隆到本地	Tap “Clone repository” to clone one locally	note_clone_hint
选择要拉取的仓库	Choose a repository to clone	label_choose_repo_to_clone
暂无仓库	No repositories yet	state_no_repos
确定删除「$name」吗？仅删除本地副本，不影响远端仓库。	Delete “%1$s”? Only the local copy is removed; the remote repository is unaffected.	confirm_delete_local_copy
上游	Upstream	nav_upstream
回退 Git 化	Revert gitify	nav_revert_gitify
分支 · $repoName	Branches · %1$s	label_branches_of_repo
工作区有 $dirtyCount 个改动；切换分支若会覆盖它们将被拒绝	The working tree has %1$s changes; switching branches is refused if it would overwrite them	note_dirty_blocks_switch
基于当前分支创建，创建后自动切换过去。	Created from the current branch and switched to automatically.	note_new_branch_from_current
创建并切换	Create and switch	action_create_and_switch
只删除本地分支，不影响远端；未合并的提交会丢失。	Deletes the local branch only; the remote is unaffected. Unmerged commits will be lost.	note_delete_local_branch
先撤销改动？	Discard changes first?	confirm_discard_first_title
工作区有 $dirtyCount 个改动，切换分支可能失败或覆盖它们。\n确认后会先撤销所有改动再切换（此操作不可撤销）。	The working tree has %1$s changes; switching branches may fail or overwrite them.\nIf you confirm, all changes are discarded before switching (this cannot be undone).	confirm_discard_before_switch_body
撤销并切换	Discard and switch	action_discard_and_switch
工程版本号	Engineering version	label_engineering_version
标准版本号	Standard version	label_standard_version
构建时间	Build time	label_build_time
七位哈希	Seven-digit hash	label_short_hash
Git 配置包	Git bundle	label_git_bundle
代码编辑器	Code editor	label_code_editor
${com.branchbase.editor.EditorModuleInfo.NAME} ${com.branchbase.editor.EditorModuleInfo.VERSION}（${com.branchbase.editor.EditorModuleInfo.MODULE}）	%1$s %2$s (%3$s)	label_editor_module_info
发布版本	Release build	label_release_build
签名校验	Signature check	label_signature_check
异常（未知签名）	Abnormal (unknown signature)	state_signature_abnormal
远程校验	Remote check	label_remote_check
无法获取校验文件	Cannot fetch the checksum file	error_checksum_unavailable
不匹配	Mismatch	state_mismatch
项目主页（仅 Android）	Project home (Android only)	label_project_home
开发交流（QQ 群）	Community (QQ group)	label_community_qq
放弃本地被拦：$it	Discard local blocked: %1$s	state_discard_blocked
放弃本地可用	Discard local available	state_discard_available
已保留本地提交 · 远端未动	Kept the local commit · remote untouched	state_kept_local_for_now
已放弃本地提交	Discarded the local commit	state_discarded_local
同步失败 · 分叉	Sync failed · diverged	state_sync_failed_diverged
本地与远端各领先对方，无法快进合并（non-fast-forward）。App 不做 merge/rebase（对齐 D11），请选择如何处理。	Local and remote have each moved ahead, so this cannot fast-forward. The app does not merge or rebase (per D11); choose how to proceed.	note_diverged_explain
分叉示意	Divergence diagram	label_divergence_diagram
本地 ${status?.branch ?: "main"}	Local %1$s	label_local_branch
ahead ${status?.ahead ?: 0} · 未推送	ahead %1$s · unpushed	label_ahead_unpushed
已分叉	Diverged	state_diverged_badge
远端 origin	Remote origin	label_remote_origin
ahead ${status?.behind ?: 0} · 他人新提交	ahead %1$s · new commits from others	label_behind_new_commits
本地未推送提交（放弃将永久丢失）	Local unpushed commits (discarding them loses them permanently)	label_local_unpushed_commits
（无数据）	(no data)	state_no_data
保留本地提交（暂不处理）	Keep the local commit (for now)	action_keep_local_for_now
本地提交与工作区原样保留，远端不动，App 也不删除任何数据。App 不做 merge / rebase：这条分叉需要你自己决定怎么合（改动可逐文件查看 / 复制）。	The local commits and working tree stay exactly as they are, the remote is not touched, and the app deletes nothing. The app does not merge or rebase: resolving this divergence is up to you (changes can be viewed or copied file by file).	note_keep_local_workspace
回到工作区，保持 ahead 状态，稍后可再处理。	Return to the working tree with the ahead state intact; you can deal with it later.	note_back_to_worktree_ahead
将丢弃本地 ${status?.ahead ?: 0} 个未推送提交，改动不可恢复。App 不提供导出，请确认这些改动已不再需要。	%1$s unpushed local commits will be discarded and their changes cannot be recovered. The app cannot export them — make sure you no longer need these changes.	confirm_discard_unpushed_body
我确认放弃这些提交	I confirm discarding these commits	confirm_discard_commits_checkbox
加载仓库状态…	Loading repository status…	state_loading_repo_status
确认放弃本地提交	Confirm discarding the local commit	confirm_discard_local_commit_title
保留本地	Keep local	action_keep_local_only
已保留 .git（偏好普通文件夹）	Kept .git (prefers a plain folder)	state_kept_git
已移除 .git，文件保留	Removed .git; files kept	state_removed_git
移除失败	Removal failed	error_remove_failed
关闭 Git 化	Turn off gitify	action_turn_off_gitify
$repoName · 回退	%1$s · revert	label_repo_revert
「Git 化」是 ③ 的子开关（D10）。关闭后提交将走 App REST（①②），本地 .git 的处理方式请选择。	“Gitify” is a sub-switch of ③ (D10). Once it is off, commits go through the app's REST path (①②); choose what to do with the local .git.	note_gitify_off
仓库状态	Repository status	label_repo_status
领先远端	Ahead of remote	label_ahead_of_remote
${status?.ahead ?: 0} 个提交（未推送）	%1$s commits (unpushed)	label_ahead_commits
工作区改动	Working tree changes	label_worktree_changes
${status?.dirty?.size ?: 0} 个文件	%1$s files	label_dirty_file_count
回退方式	Revert method	label_revert_method
保留 .git 不变	Keep .git unchanged	label_keep_git
仅记录「偏好普通文件夹」，仓库与历史完好，可随时重新开启 Git 化。无损。	Only records a preference for a plain folder; the repository and its history stay intact and gitify can be turned back on at any time. Lossless.	note_keep_git_desc
移除 .git，保留文件	Remove .git, keep the files	label_remove_git_keep_files
工作树文件不变，但历史与 ${status?.ahead ?: 0} 个未推送提交永久丢失（需二次确认）。	Working tree files are untouched, but the history and %1$s unpushed commits are lost permanently (confirmation required).	note_remove_git_desc
删除整个本地仓库	Delete the whole local repository	label_delete_whole_repo
跳转「删除本地仓库」确认（含未推送警告升级）。	Opens the “delete local repository” confirmation (including the unpushed-commits warning).	note_delete_whole_repo_desc
将永久丢失 ${status?.ahead ?: 0} 个未推送提交与全部历史。	%1$s unpushed commits and the entire history will be lost permanently.	warning_remove_git_loss
我确认移除 .git	I confirm removing .git	confirm_remove_git_checkbox
请填写远端 URL	Enter the remote URL	error_remote_url_required
已推送并设为上游分支 origin/$upstreamBranch	Pushed and set origin/%1$s as upstream	toast_pushed_set_upstream
推送失败：$result	Push failed: %1$s	error_push_failed_result
设置上游分支	Set upstream branch	action_set_upstream
$repoName · 首次推送	%1$s · first push	label_repo_first_push
本地仓库由 git init 创建（非 clone），首次推送前需确定远端与上游分支。设置后写入 .git/config，无需重复设置。本应用只有这一条推送路径：引擎总会把该分支设为上游。	This local repository was created with git init (not cloned), so the remote and upstream branch must be chosen before the first push. They are written to .git/config, so this is a one-time step. The app has only this one push path: the engine always sets the branch as upstream.	note_first_push
远端配置	Remote configuration	label_remote_config
远端 URL	Remote URL	label_remote_url
上游分支名	Upstream branch name	label_upstream_branch_name
推送方式	Push method	label_push_method
推送并设为上游分支	Push and set as upstream branch	action_push_and_set_upstream
git push -u origin $upstreamBranch：本应用总会把该分支设为上游（引擎没有「仅本次推送、不记录 upstream」这条路），以后直接 push/pull 即可。	git push -u origin %1$s: the app always sets this branch as upstream (the engine has no “push once without recording upstream” path), so later pushes and pulls just work.	note_push_sets_upstream
保持未推送状态，稍后再处理。	Leave it unpushed and deal with it later.	note_leave_unpushed
推送中…	Pushing…	state_pushing
推送并设为上游	Push and set upstream	action_push_and_set_upstream_short
撤销保留改动被拦：$it	Undo keeping changes blocked: %1$s	state_undo_keep_blocked
撤销并丢弃被拦：$it	Undo and discard blocked: %1$s	state_undo_discard_blocked
两个撤销动作可用	Both undo actions are available	state_both_undo_available
没有可操作的提交	No commit to act on	state_no_commit_to_act
请输入新的提交信息	Enter a new commit message	error_new_commit_message_required
已修改提交信息	Commit message updated	state_commit_message_updated
已撤销提交 · 改动保留在工作区	Commit undone · changes kept in the working tree	state_undo_commit_kept
已撤销并丢弃改动	Undone and changes discarded	state_undo_discarded
请输入提交 sha（或 HEAD）	Enter a commit SHA (or HEAD)	error_commit_sha_required
已创建 revert 提交	Revert commit created	state_revert_created
revert 失败（原因见日志 · 常见：工作区有未提交改动 / sha 无效）	Revert failed (see the log; common causes are uncommitted changes in the working tree or an invalid SHA)	error_revert_failed
$repoName · 长按触发	%1$s · triggered by long-press	label_repo_long_press
目标提交 ${it.sha} · ${it.message}	Target commit %1$s · %2$s	label_target_commit
这是仓库的第一个提交：没有可撤销的上一次提交（reset --soft 必然失败；reset --hard 会清空本地历史，本页也不提供）。仍可修改提交信息。	This is the repository's first commit, so there is no previous commit to undo (reset --soft would always fail, and reset --hard would wipe the local history, which this page does not offer). The message can still be edited.	note_first_commit_no_undo
未推送提交 · 可自由改写	Unpushed commit · free to rewrite	label_unpushed_rewritable
修改提交信息（amend）	Edit the commit message (amend)	action_amend_message
重写这次提交的 message（树内容不变），仅用于未推送提交。	Rewrites this commit's message (the tree is unchanged); only for unpushed commits.	note_amend_message
新的提交信息	New commit message	label_new_commit_message
简要描述…	Brief description…	hint_brief_description
amend 会重建这次提交（提交 sha 变化），但作者与提交时间沿用原提交 —— 刻意设计，不改时间戳。	Amending recreates the commit (its SHA changes), but the author and commit time are carried over from the original — deliberate, timestamps are not rewritten.	note_amend_recreates
该提交的改动将永久丢失（${head?.sha ?: "HEAD"}）。	The changes in this commit will be lost permanently (%1$s).	confirm_discard_commit_changes
我确认丢弃这些改动	I confirm discarding these changes	confirm_discard_changes_checkbox
新提交反向撤销该提交改动，历史保留（对齐 D11 边界）。	A new commit reverses this commit's changes and the history is preserved (per the D11 boundary).	note_revert_keeps_history
不做任何操作。	Do nothing.	note_do_nothing
提交 sha（或 HEAD）	Commit SHA (or HEAD)	label_commit_sha
说明：已推送提交不能 reset/amend（会破坏他人已拉取的历史），只提供 revert。	Note: pushed commits cannot be reset or amended (that would break history others have already pulled); only revert is offered.	note_pushed_commit_revert_only
撤销并保留改动	Undo and keep changes	action_undo_keep_changes
请先勾选要提交的文件	Tick the files to commit first	error_tick_files_first
提交更改	Commit changes	action_commit_changes
$repoName · ${mode?.label ?: "模式未配置"}	%1$s · %2$s	label_repo_mode
⚠ 未选择提交模式 · 提交时将询问。确定后固化到本地配置，可随时在设置中更改。	⚠ No commit mode selected · you will be asked when committing. Once chosen it is stored in the local configuration and can be changed in Settings at any time.	note_no_commit_mode
变更文件（勾选本次提交范围）	Changed files (tick what this commit includes)	label_changed_files_scope
已选 $selectedCount / ${files.size} 个文件	%1$s of %2$s files selected	label_selected_files
模式 ① 单文件提交：跳过勾选，直接填写提交信息（PUT contents）。	Mode ① single-file commit: skip the selection and write the commit message directly (PUT contents).	note_mode_single_file
简要描述本次更改…	Briefly describe this change…	hint_describe_change
请输入作者名称	Enter the author name	error_author_name_required
邮箱格式不正确	Invalid email format	error_invalid_email
确认提交身份	Confirm commit identity	label_confirm_commit_identity
首次 · 公开可见	First time · publicly visible	label_first_time_public
本地 git commit 需要签名身份（author）。此身份会写入每个提交，公开可见。	A local git commit needs a signing identity (author). This identity is written into every commit and is publicly visible.	note_commit_identity
签名信息	Signature information	label_signature_info
作者名称（必填）	Author name (required)	label_author_name_required
作者邮箱（必填）	Author email (required)	label_author_email_required
保存范围	Save scope	label_save_scope
保存为全局默认	Save as the global default	label_save_global_default
存 SharedPreferences（commit.author.*），所有仓库复用。	Stored in SharedPreferences (commit.author.*) and reused for every repository.	note_save_global_default
仅本次使用	Use once	label_use_once
不落盘，下次提交时重新询问。	Not persisted; you will be asked again next time.	note_use_once
noreply 邮箱可保护真实邮箱不被公开抓取，推荐保持默认。	A noreply email keeps your real address from being scraped publicly; keeping the default is recommended.	note_noreply_email
保存并继续提交	Save and continue	action_save_and_continue
检测到敏感信息	Sensitive information detected	state_sensitive_detected
提交前 · ${hits.size} 处命中	Before commit · %1$s hits	label_hits_before_commit
本次提交内容命中 ${hits.size} 处疑似密钥特征。提交后内容将随仓库历史永久公开，即使后续删除仍可被恢复。	This commit matches %1$s suspected secret patterns. Once committed, the content becomes permanently public in the repository history and can still be recovered after deletion.	warning_secrets_detected
命中明细（已打码 · 本地扫描不上传）	Match details (masked · the scan runs locally and uploads nothing)	label_hit_details
第 ${h.line} 行	Line %1$s	label_line_number
回到编辑器，移除或替换密钥后重新提交。	Go back to the editor, remove or replace the secret, then commit again.	note_remove_secret
需勾选下方确认（内容可公开 / 密钥将立即作废）。	Tick the confirmation below (the content may become public / the key must be revoked immediately).	note_tick_secret_confirm
提交公开后，即使删除提交，密钥仍可能被爬取。建议立即在服务商后台吊销。	Once committed and public, the key can be scraped even if the commit is later deleted. Revoke it in the provider's console immediately.	warning_revoke_key
我确认内容可公开（或密钥将立即作废）	I confirm the content may become public (or the key will be revoked immediately)	confirm_public_checkbox
发现未保存草稿	Unsaved draft found	state_unsaved_draft_found
编辑中断恢复	Recover interrupted editing	label_recover_interrupted_edit
上次编辑因切后台/进程被杀中断。草稿存于 files/edit/（D3 隔离目录）。	The last edit was interrupted by backgrounding or the process being killed. Drafts live in files/edit/ (the D3 isolated directory).	note_draft_interrupted
草稿信息	Draft information	label_draft_info
修改于 ${d.modifiedAt} · ${d.changedLines} 行变更	Modified %1$s · %2$s lines changed	label_draft_modified
远端状态	Remote status	label_remote_status
sha 对比	SHA comparison	label_sha_comparison
远端已变化（存在多端编辑冲突）	The remote has changed (conflicting edits from another device)	state_remote_changed
远端未变化（可安全恢复编辑）	The remote is unchanged (safe to resume editing)	state_remote_unchanged
恢复方式	Recovery method	label_recovery_method
载入草稿继续编辑，${drafts.size} 个文件恢复为未保存状态。	Load the draft and keep editing; %1$s files return to an unsaved state.	note_load_draft
草稿永久删除（需二次确认），打开远端最新版本。	The draft is deleted permanently (confirmation required) and the latest remote version is opened.	note_discard_draft_open_remote
丢弃草稿并打开远端只读视图（不进入编辑态）。	Discard the draft and open the remote read-only view (no editing).	note_discard_open_readonly
${drafts.size} 个草稿文件将永久删除，未保存内容无法找回。	%1$s draft files will be deleted permanently; unsaved content cannot be recovered.	warning_drafts_deleted
我确认丢弃草稿	I confirm discarding the drafts	confirm_discard_drafts_checkbox
消息加载失败	Failed to load messages	error_messages_load_failed
标记已读失败，请重试	Failed to mark as read; try again	error_mark_read_failed
未能定位到具体这次运行，已打开工作流列表	Could not locate that specific run; the workflow list was opened instead	note_run_not_located
已把「${entry.title}」恢复为未读	Marked “%1$s” as unread again	toast_restored_unread
标记完成失败，请重试	Failed to mark as done; try again	error_mark_done_failed
标记已读	Mark as read	action_mark_read
$what：成功 ${reps.size - rowsDone.size} 条，失败 ${rowsDone.size} 条	%1$s: %2$s succeeded, %3$s failed	toast_batch_result
${reps.size} 条已$what	%1$s items · %2$s	toast_batch_summary
已将 ${targets.size} 条标记为已读	Marked %1$s as read	toast_marked_read_count
全部已读失败，请重试	Failed to mark all as read; try again	error_mark_all_read_failed
已静音该会话	Conversation muted	toast_conversation_muted
静音失败，请重试	Failed to mute; try again	error_mute_failed
消息	Messages	nav_messages
刷新消息	Refresh messages	action_refresh_messages
首页阶段已预取 · 首帧直出，后台正在回源	Prefetched during startup · rendered from cache on the first frame while refreshing in the background	note_prefetched_first_frame
加载更多	Load more	action_load_more
${preview.author}：${preview.body}	%1$s: %2$s	label_preview_author_body
展开其余 ${fold.count - 1} 次	Expand the other %1$s	action_expand_remaining_runs
收起分组	Collapse group	action_collapse_group
展开分组	Expand group	action_expand_group
该筛选下没有消息	No messages under this filter	state_no_messages_in_filter
暂无已完成消息	No completed messages yet	state_no_completed_messages
没有未读消息	No unread messages	state_no_unread_messages
暂无消息	No messages yet	state_no_messages
批量「完成」后的消息会归档到这里。	Messages completed in bulk are archived here.	note_archived_here
你已看完所有消息 🎉	You have read everything 🎉	state_all_caught_up
当有人提及、评论或请求审查时，会在这里收到消息。	You will get messages here when someone mentions you, comments, or requests a review.	note_when_messages_arrive
已选 $selectionCount 条消息	%1$s messages selected	label_selected_messages
批量操作作用于当前筛选下的选中项	Bulk actions apply to the selected items under the current filter	note_bulk_scope
完成所选（$selectionCount 条）	Mark selected as done (%1$s)	action_complete_selected
全部标记为未读	Mark all as unread	action_mark_all_unread
仅本地	Local only	label_local_only
复制所选链接	Copy selected links	action_copy_selected_links
分享第一条	Share the first one	action_share_first
标记为已读	Mark as read	action_mark_as_read
右滑同效	Swiping right does the same	hint_swipe_right_same
标记为未读	Mark as unread	action_mark_as_unread
静音该会话	Mute this conversation	action_mute_conversation
不再收到此 thread	Stop receiving this thread	note_mute_thread
多选	Multi-select	label_multi_select
长按另一条可区间选择	Long-press another one to select a range	hint_long_press_range
长按唤出本面板；进入多选后，长按另一条可从锚点整段选择，按住横向划过可连续刷选。	Long-press to open this panel; in multi-select, long-press another message to select the whole range from the anchor, or hold and drag sideways to keep extending the selection.	note_multiselect_help
本地没有记录这条反应的 id（可能是在其它设备上添加的）	This reaction's id is not recorded locally (it may have been added on another device)	error_reaction_id_missing
取消反应失败：$err	Failed to remove the reaction: %1$s	error_remove_reaction_failed
添加反应失败，请重试	Failed to add the reaction; try again	error_add_reaction_failed
更新评论失败：$err	Failed to update the comment: %1$s	error_update_comment_failed
更新正文失败：$err	Failed to update the body: %1$s	error_update_body_failed
正文不能为空	The body cannot be empty	error_body_empty
已保存修改	Changes saved	toast_changes_saved
评论失败：$err	Comment failed: %1$s	error_comment_failed
关闭失败：$err	Failed to close: %1$s	error_close_failed
重新打开失败：$err	Failed to reopen: %1$s	error_reopen_failed
作者	Author	label_author
显示更早的 $hiddenCount 条	Show %1$s earlier	action_show_earlier
已复制评论链接	Comment link copied	toast_comment_link_copied
已复制 Markdown 原文	Markdown source copied	toast_markdown_copied
评论已删除	Comment deleted	toast_comment_deleted
删除这条评论？	Delete this comment?	confirm_delete_comment_title
删除后无法恢复，评论会从 GitHub 上移除。	This cannot be undone; the comment is removed from GitHub.	confirm_delete_comment_body
已复制链接	Link copied	toast_link_copied
分享 issue	Share issue	action_share_issue
${d.author} 创建于 ${shortTime(d.createdAt)} · ${d.commentsCount} 条评论	%1$s opened on %2$s · %3$s comments	label_issue_meta
评论于 ${shortTime(createdAt)}	Commented %1$s	label_commented_at
· 已编辑	 · edited	suffix_edited
评论操作	Comment actions	label_comment_actions
复制评论链接	Copy comment link	action_copy_comment_link
复制 Markdown 原文	Copy Markdown source	action_copy_markdown
编辑评论	Edit comment	action_edit_comment
删除评论	Delete comment	action_delete_comment
展开全文	Show full text	action_expand_full_text
＋	+	label_plus
$e  添加反应	%1$s  Add reaction	action_add_reaction
正在编辑 @$editingAuthor 的评论	Editing @%1$s's comment	label_editing_comment
写	Write	tab_write
重新打开	Reopen	action_reopen
还没有内容，切回「写」开始输入。	Nothing here yet — switch back to “Write” to start typing.	state_preview_empty
留下评论（支持 Markdown）	Leave a comment (Markdown supported)	hint_leave_comment
加粗	Bold	md_bold
斜体	Italic	md_italic
列表	List	md_list
引用	Quote	md_quote
提及	Mention	md_mention
Markdown 已支持	Markdown supported	label_markdown_supported
编辑中	Editing	state_editing
已关闭	Closed	state_closed
关闭并评论 ▾	Close and comment ▾	action_close_and_comment
关闭并评论（已完成）	Close and comment (completed)	action_close_comment_completed
关闭并评论（不计划实施）	Close and comment (not planned)	action_close_comment_not_planned
只提交评论，不关闭	Comment only, do not close	action_comment_only
保存修改	Save changes	action_save_changes
评论	Comment	action_comment
发布详情	Release details	label_release_details
${release.author} 发布 · 	%1$s released · 	label_released_by
附件 · ${release.assets.size}	Assets · %1$s	label_assets_count
该附件没有下载地址	This asset has no download URL	error_asset_no_url
已加入下载：${asset.name}	Added to downloads: %1$s	toast_added_to_downloads
没有能打开该文件的应用	No app can open this file	error_no_app_to_open
分享失败	Share failed	error_share_failed
删除发布 ${release.tag}？	Delete release %1$s?	confirm_delete_release_title
只删除这次发布，tag 与提交不受影响。此操作不可撤销。	Only this release is deleted; the tag and commits are unaffected. This cannot be undone.	confirm_delete_release_body
草稿已自动保存	Draft saved automatically	toast_draft_autosaved
导入失败：读不到所选文件	Import failed: the selected file could not be read	error_import_unreadable
已导入 ${fresh.size} 个文件 · 暂存在 release-uploads/	Imported %1$s files · staged in release-uploads/	toast_imported_files
请填写 tag（如 v1.0.13）	Enter a tag (e.g. v1.0.13)	hint_tag_required
保存失败（检查 tag 是否已存在、是否有写权限）	Save failed (check whether the tag already exists and whether you have write access)	error_save_failed_tag
发布已保存，但没拿到发布 id，附件没能上传	The release was saved but no release id came back, so the assets were not uploaded	error_no_release_id
上传失败（可重试）	Upload failed (you can retry)	error_upload_failed
$failed 个附件没传上去：修好后点「重试」继续，别直接退出	%1$s assets were not uploaded: fix the problem and tap “Retry” to continue — do not leave this screen	error_assets_not_uploaded
先填写 tag，生成说明要按 tag 找提交	Enter a tag first; generating notes looks up commits by tag	error_tag_before_generate
生成失败（确认 tag 存在、且该 tag 之前有合并记录）	Generation failed (make sure the tag exists and has merge records before it)	error_generate_failed
已插入 ${inserted.size} 行生成说明 · 手写内容保留	Inserted %1$s generated lines · your own text is kept	toast_notes_inserted
存为草稿	Save as draft	action_save_as_draft
编辑发布	Edit release	action_edit_release
附件	Assets	label_assets
${attachments.size} 个 · ${DownloadPaths.formatBytes(attachments.sumOf { it.size })}	%1$s · %2$s	label_assets_summary
导入	Import	action_import
点右上「$actionLabel」会先保存这条发布，再逐个上传附件	Tapping “%1$s” in the top-right saves this release first, then uploads the assets one by one	note_upload_sequence
${lineStartOffsets(body).size} 行 · ${body.count { !it.isWhitespace() }} 字	%1$s lines · %2$s characters	label_lines_chars
生成中…	Generating…	state_generating
生成说明	Generate notes	action_generate_notes
${generatedLines.size} 行来自生成说明	%1$s lines came from generated notes	label_generated_lines
全部保留	Keep all	action_keep_all
丢弃生成行	Discard generated lines	action_discard_generated
导入后立刻复制到 App 私有目录，不依赖系统选择器给的那张临时凭据：	Imported files are copied into the app's private directory immediately, without relying on the temporary grant from the system picker:	note_import_copied_immediately
· 退出编辑、切后台、重启 App 都不会丢（不用 cacheDir：系统低存储时会清它）；\n· 发布成功后自动清理；未发布的草稿保留 7 天；点「移除」立即删除；\n· 引用 downloads/ 里已下载的文件时不复制，只记路径。	· Survives leaving the editor, backgrounding and restarting the app (not cacheDir: the system clears it under low storage);\n· Cleaned up automatically after a successful release; unpublished drafts are kept for 7 days; tapping “Remove” deletes them immediately;\n· Files already downloaded under downloads/ are referenced by path instead of being copied.	note_import_storage_bullets
正在渲染…	Rendering…	state_rendering
 · ${asset.downloadCount} 次下载	 · %1$s downloads	suffix_download_count
打开	Open	action_open
刷新远端失败：$fetchErr	Failed to refresh the remote: %1$s	error_refresh_remote_failed
$label 成功	%1$s succeeded	toast_operation_succeeded
$label 失败：$err	%1$s failed: %2$s	toast_operation_failed
拉取 $branch	Pull %1$s	label_pull_branch
切换到 $name 失败：$co	Failed to switch to %1$s: %2$s	error_switch_to_failed
已切换到 $name 并拉取	Switched to %1$s and pulled	toast_switched_and_pulled
拉取 $name 失败：$err	Failed to pull %1$s: %2$s	error_pull_failed
缺少远端地址，无法设置上游	No remote URL, so upstream cannot be set	error_no_remote_url
设置上游并推送 $name	Set upstream and push %1$s	label_set_upstream_and_push
创建本地分支失败：$create	Failed to create the local branch: %1$s	error_create_local_branch_failed
已创建本地分支 $name 并跟踪 origin/$name	Created local branch %1$s tracking origin/%2$s	toast_created_tracking
已创建 $name，但设置上游失败：$up	Created %1$s but setting upstream failed: %2$s	error_created_upstream_failed
放弃本地、对齐远端 $name	Discard local and align with remote %1$s	label_discard_align_remote
reset --hard 失败：%1$s	reset --hard failed: %1$s	error_reset_hard_failed
推送 $name 失败($err)	Failed to push %1$s (%2$s)	error_push_branch_failed
拉取 $name	Pull %1$s	label_pull
拉取 $name 失败($err)	Failed to pull %1$s (%2$s)	error_pull_branch_failed
刷新远端	Refresh remote	action_refresh_remote
当前分支 ${status?.branch ?: "—"}	Current branch %1$s	label_current_branch
${locals.size} 个本地分支 · ${remotes.size} 个远端分支	%1$s local branches · %2$s remote branches	label_branch_counts
 · 工作区 ${st.dirty.size} 个改动	 · %1$s working tree changes	suffix_worktree_changes
本地分支	Local branches	label_local_branches
一键同步	Sync all	action_sync_all
远端有、本地没有	On the remote but not locally	label_remote_only
创建并跟踪	Create and track	action_create_and_track
切换到 $target 并拉取？	Switch to %1$s and pull?	confirm_switch_and_pull_title
libgit2 的 pull 只作用于当前分支，因此同步「$target」需要先切换过去。\n工作区有未提交改动时切换可能被拒绝（不会隐式 stash）。	libgit2's pull only applies to the current branch, so syncing “%1$s” requires switching to it first.\nSwitching may be refused when the working tree has uncommitted changes (nothing is stashed implicitly).	confirm_switch_and_pull_body
放弃本地提交？	Discard local commits?	confirm_discard_local_commits_title
会把 $target 强制对齐到 origin/$target，本地独有的提交将不再被分支引用（仍可通过 reflog 找回，但界面上看不到）。	This force-aligns %1$s to origin/%2$s; commits unique to the local branch are no longer referenced (they can still be found through the reflog, but are not visible in the UI).	confirm_discard_local_commits_body
放弃并对齐	Discard and align	action_discard_and_align
拉取	Pull	action_pull
设为上游并推送	Set upstream and push	action_set_upstream_and_push
头像已刷新	Avatar refreshed	toast_avatar_refreshed
刷新失败（检查网络）	Refresh failed (check your network)	error_refresh_failed_network
${followers} 关注者	%1$s followers	label_followers
${following} 正在关注	%1$s following	label_following
${publicRepos} 仓库	%1$s repositories	label_repo_count_public
热门仓库	Popular repositories	label_popular_repos
自定义置顶	Custom pins	label_custom_pins
暂无置顶仓库	No pinned repositories yet	state_no_pinned_repos
🔍 查找仓库…	🔍 Find a repository…	hint_find_repo
未获取到登录名，请重新登录	Could not get the login name; sign in again	error_login_name_missing
无法加载动态（网络或权限受限）	Cannot load the activity feed (network or permission restricted)	error_activity_unavailable
近 90 天公开活动	Public activity in the last 90 days	label_activity_90_days
动态概览	Activity overview	label_activity_overview
